,BaseABC,BaseBMO,AdaptiveBOA,BaseEPO,BaseHHO,LevyNMR,IPFA,BasePSO,ImprovedSFO,BaseSOA,BaoWOA
0,1859383323578456.0,904817726611393.0,89446767704407.64,2768531718784725.0,2426315824734865.5,749493.1445461208,2757356.7045218158,6637677112392.821,955991.6356111848,8505225062955574.0,2630220360348598.5
1,1835476952199622.2,414124100993328.1,12101647743416.734,2768531718784725.0,2323244488701734.5,502221.730793146,1017651.2777860003,6637677112392.821,955991.6356111848,8505225062955574.0,541981480347521.9
2,1820738669940591.8,277943909104752.4,2711270191710.4194,2768531718784725.0,1674839230425230.5,493238.1807973947,535364.104487634,4688920980711.19,237069.14800866332,8505225062955574.0,350026339201108.44
3,1819924376206444.8,277943909104752.4,891976733246.4993,2768531718784725.0,21365430636613.082,341256.8848563231,535364.104487634,2480104192077.365,237069.14800866332,8505225062955574.0,281706552642273.0
4,1818627846048326.2,255704852287504.06,301871598257.9699,2768531718784725.0,18353884705806.92,330797.0293372397,535364.104487634,1917639914142.1616,56764.55608197004,8505225062955574.0,189937898363199.56
5,1757499307582638.5,194031275144723.7,114384192161.12637,2768531718784725.0,14716946511593.74,320143.3932831549,535364.104487634,1763472655668.541,56764.55608197004,8505225062955574.0,110133169600985.92
6,1757042842951682.8,189635283767775.47,51886201764.0334,2768531718784725.0,9914012018423.676,313307.0645036824,535364.104487634,1710605532187.1553,29640.3388122604,4396894566495073.0,25554933964050.22
7,1749245405981292.2,182429967269643.06,23805097148.95582,2768531718784725.0,9302341731187.598,312244.3466711306,535364.104487634,1254148224476.4595,29578.509804012534,4396894566495073.0,14692524582049.043
8,1748631482281470.0,147966340662335.8,13093592321.086302,2768531718784725.0,5056957771101.941,310530.4530809561,535364.104487634,1254148224476.4595,13810.220383274791,4396894566495073.0,12965643959954.55
9,1743720736951531.2,147966340662335.8,7762103595.688057,2768531718784725.0,23008187013.10887,280264.82690770103,420491.41340950347,1225717417727.5151,13810.220383274791,4396894566495073.0,6818827240356.283
10,1742847460003218.8,147636461633925.75,4918157756.157364,2768531718784725.0,1816715023.5330553,279474.2579317846,336733.9101804966,887324550244.7744,13810.220383274791,4396894566495073.0,5168997502343.152
11,1741699427027078.8,146973474782998.3,3389173314.549754,2768531718784725.0,394481651.5865542,279291.3230144651,336733.9101804966,541577668958.51575,10749.147347502283,4396894566495073.0,4029930292000.9263
12,1740749136577976.8,146973474782998.3,2798850461.96786,2768531718784725.0,97947912.62275496,238450.81571701748,336733.9101804966,408278849926.6326,10749.147347502283,4396894566495073.0,567597647978.9082
13,1739928924319571.2,146973474782998.3,1935668821.0226257,2768531718784725.0,30571458.20179003,237556.65764560408,336733.9101804966,398742217463.88043,10749.147347502283,4396894566495073.0,158899027463.23666
14,1739344943377090.0,146973474782998.3,1375115962.9312804,2768531718784725.0,2789250.5678918497,236889.80700916104,314362.6234607906,333447636641.91187,10749.147347502283,4396894566495073.0,86999195470.7041
15,1738868624159887.2,146973474782998.3,996430460.8147883,2768531718784725.0,390068.80269939743,226824.41047987933,314362.6234607906,333447636641.91187,10749.147347502283,4396894566495073.0,60939668260.88817
16,1733433933836663.2,146973474782998.3,996430460.8147883,2768531718784725.0,363889.08398772357,190843.5218896743,314362.6234607906,327073686122.2588,10749.147347502283,4396894566495073.0,46141290624.24357
17,1732548879394999.5,146973474782998.3,774864047.9579792,2768531718784725.0,227824.4577517837,185389.26081276097,314362.6234607906,319683237902.39453,10749.147347502283,4396894566495073.0,11725281283.174103
18,1731999583027981.5,146973474782998.3,614141442.0015634,2768531718784725.0,187665.3368732471,160941.5600306471,314362.6234607906,280625354383.31976,10749.147347502283,4396894566495073.0,4915177328.049154
19,1706218604327315.8,146973474782998.3,542757232.2158335,2768531718784725.0,187665.3368732471,149635.77749235524,314362.6234607906,279203757440.61896,10749.147347502283,4396894566495073.0,1066011966.1453857
20,1706045133655942.2,146973474782998.3,429369327.391019,2768531718784725.0,176670.76113603907,130564.87532045641,314362.6234607906,170889733887.63065,10749.147347502283,4396894566495073.0,65184927.19639877
21,1623346535064994.0,146973474782998.3,349595515.04067403,2768531718784725.0,84450.45588992516,128267.18220445617,314362.6234607906,170889733887.63065,10749.147347502283,4396894566495073.0,12077728.763510613
22,1621586220582965.8,146973474782998.3,286284462.80153584,2768531718784725.0,54978.37817388777,127945.97182599061,314362.6234607906,162335192634.02948,10205.699999213934,4396894566495073.0,1461032.7691075783
23,1619003031507764.5,146973474782998.3,237360914.88626963,2768531718784725.0,31160.564452040137,127624.69641585553,314362.6234607906,149224859479.915,10205.699999213934,4396894566495073.0,1461032.7691075783
24,1327481218958638.0,146973474782998.3,199555649.47366196,2768531718784725.0,8514.236579263987,127598.45080623384,314362.6234607906,125665560891.30151,10205.699999213934,4396894566495073.0,866190.1350414889
25,1306745190911394.5,146973474782998.3,192906894.73348004,2768531718784725.0,8514.236579263987,127471.34780852756,314362.6234607906,125665560891.30151,10205.699999213934,4396894566495073.0,762915.1377832688
26,1306366238987652.5,146973474782998.3,168552899.13583595,2768531718784725.0,5121.890323316295,127468.16620415372,314362.6234607906,123724229991.91971,10205.699999213934,4396894566495073.0,576574.6023109445
27,1298586343792821.0,146973474782998.3,151153310.65153885,2768531718784725.0,5121.890323316295,127445.49714203303,314362.6234607906,115161015840.24995,10205.699999213934,4396894566495073.0,503046.97612607235
28,1294187259059185.8,146973474782998.3,134949278.15548983,2768531718784725.0,5121.890323316295,127435.87739610992,314362.6234607906,110017655372.48538,8658.066715974059,4396894566495073.0,350494.39702647744
29,1293774184313799.2,146973474782998.3,119909491.11850284,2768531718784725.0,5121.890323316295,127435.87739610992,314362.6234607906,100491453855.98944,8658.066715974059,4396894566495073.0,97500.83409089982
30,1293143307960215.0,146973474782998.3,111283752.7196792,2768531718784725.0,5121.890323316295,127435.87739610992,314362.6234607906,100285201179.45874,8658.066715974059,16445203923161.68,89480.35643813807
31,1061012242153402.4,146973474782998.3,100416837.35924104,2768531718784725.0,5121.890323316295,126859.9127400639,314362.6234607906,100285201179.45874,8658.066715974059,7110190304157.231,79629.11582114775
32,1058994835552424.1,146973474782998.3,95681465.90853018,2768531718784725.0,3874.6489541172114,126691.00540179764,314362.6234607906,85376888801.96642,8658.066715974059,7110190304157.231,73108.45645283724
33,851605479018288.5,146973474782998.3,87513684.71301399,2768531718784725.0,3364.736228324642,126445.9843333612,314362.6234607906,85376888801.96642,8658.066715974059,7110190304157.231,72711.69078515763
34,850549432521299.4,146973474782998.3,82188334.05657044,2768531718784725.0,3364.736228324642,126356.56742975014,314362.6234607906,85376888801.96642,8658.066715974059,7110190304157.231,72112.59988939409
35,850336127088607.2,146973474782998.3,75751337.72365245,2768531718784725.0,3364.736228324642,126351.52745069638,314362.6234607906,78271692139.64464,8658.066715974059,7110190304157.231,68759.3313450843
36,670818867595245.0,146973474782998.3,70269924.93669346,2768531718784725.0,3364.736228324642,126351.46008551314,314362.6234607906,73757116606.86325,5970.082331020632,7110190304157.231,58580.39680383935
