,BaseABC,BaseBMO,AdaptiveBOA,BaseEPO,BaseHHO,LevyNMR,IPFA,BasePSO,ImprovedSFO,BaseSOA,BaoWOA
37,662701045628284.2,146973474782998.3,65452006.90629206,2768531718784725.0,3364.736228324642,126350.07411822931,314362.6234607906,66904264559.07683,5970.082331020632,7110190304157.231,49360.88759689905
38,662470686544911.1,146973474782998.3,61165046.979189284,2768531718784725.0,3364.736228324642,126350.02671240317,314362.6234607906,64751158739.93419,5970.082331020632,7110190304157.231,45961.067684576
39,661023033506578.1,146973474782998.3,57394935.583199814,2768531718784725.0,3364.736228324642,126345.7947205779,314362.6234607906,58322194179.71825,5970.082331020632,7110190304157.231,40687.040654744625
40,660912370251788.4,146973474782998.3,55531030.752251156,2768531718784725.0,3364.736228324642,121625.66464234343,314362.6234607906,56277416764.69441,5970.082331020632,29081977.136363134,37206.74073706146
41,660700931446559.0,146973474782998.3,54785960.38375065,2768531718784725.0,3281.102259313418,104075.86554814914,314362.6234607906,56277416764.69441,5970.082331020632,913413.9572132364,36013.30452213629
42,649510487176301.4,146973474782998.3,52051814.576808095,2768531718784725.0,3281.102259313418,100926.55773830303,314362.6234607906,52907047513.27245,5970.082331020632,913413.9572132364,31989.355368273445
43,649350659938177.6,146973474782998.3,49551290.85331765,2768531718784725.0,3281.102259313418,100881.13205092998,314362.6234607906,42410515094.589264,5970.082331020632,889889.3743024176,29919.36484153463
44,644939103858151.5,146973474782998.3,47295128.80453645,2768531718784725.0,3281.102259313418,100843.57479830082,314362.6234607906,39869789685.93639,5970.082331020632,889889.3743024176,28219.34873506011
45,644786235913832.8,146973474782998.3,45370831.95954281,2768531718784725.0,3281.102259313418,100266.16609766512,314362.6234607906,34705680324.57878,5970.082331020632,889889.3743024176,23523.996152235017
46,644534909539981.2,146973474782998.3,43659414.00723193,2768531718784725.0,3281.102259313418,99999.08839258079,314362.6234607906,30251620681.933353,5970.082331020632,706525.1778473915,20555.30253957557
47,642609763102568.1,146973474782998.3,41974961.970455825,2768531718784725.0,3281.102259313418,99658.8749869542,314362.6234607906,28055727362.460632,5970.082331020632,706525.1778473915,18773.80471196222
48,642499924688143.4,146973474782998.3,41058957.210682586,2768531718784725.0,3281.102259313418,99316.70954345824,314362.6234607906,23291542040.719383,5970.082331020632,706525.1778473915,13919.251439538944
49,632269967912922.5,146973474782998.3,39602854.34520491,2768531718784725.0,3281.102259313418,99316.70954345824,314362.6234607906,18810138135.954395,5970.082331020632,706525.1778473915,13341.981935444333
50,632220874039917.4,146973474782998.3,38872532.406865925,2768531718784725.0,3281.102259313418,99197.51126347977,314362.6234607906,15323328994.104588,5970.082331020632,706525.1778473915,10693.03123092956
51,632093229103277.4,146973474782998.3,37641509.82872221,2768531718784725.0,3219.648722110348,99152.27750069558,314362.6234607906,8925504117.73717,5970.082331020632,706525.1778473915,10693.03123092956
52,628446755425764.6,146973474782998.3,37362654.47369264,2768531718784725.0,3175.658075759714,99152.27750069558,314362.6234607906,8424751333.059763,5970.082331020632,706525.1778473915,9837.843211869938
53,621459622181771.5,146973474782998.3,36595629.41052345,2768531718784725.0,3175.658075759714,99141.50045706486,314362.6234607906,6097828245.535996,5970.082331020632,706525.1778473915,8668.747831474335
54,616523174506443.1,146973474782998.3,35601255.90814132,2768531718784725.0,3175.658075759714,99140.87433908983,314362.6234607906,4960463798.571834,5970.082331020632,706525.1778473915,8279.03005612697
55,616333859733557.4,146973474782998.3,34694337.610276856,2768531718784725.0,3137.737553115907,99140.87433908983,314362.6234607906,4114819251.155363,5970.082331020632,706525.1778473915,8240.667324838652
56,610932278707114.0,146973474782998.3,34559336.65169335,2768531718784725.0,3137.737553115907,99139.55182090474,314362.6234607906,3647553791.6902514,5970.082331020632,706525.1778473915,7970.78357665958
57,606403003193435.0,146973474782998.3,34016234.288674034,2768531718784725.0,3137.737553115907,99139.34449171825,314362.6234607906,3369849440.7678924,5970.082331020632,706525.1778473915,7283.769842373078
58,606187825560035.6,146973474782998.3,33905600.40261363,2768531718784725.0,3137.737553115907,99135.55829358012,314362.6234607906,3287417970.760914,5970.082331020632,706525.1778473915,7071.222593153339
59,605905007350082.0,146973474782998.3,33182038.67661907,2768531718784725.0,3137.737553115907,99135.5507134086,314362.6234607906,3287417970.760914,5970.082331020632,706525.1778473915,7021.357830951507
60,605774852188496.9,146973474782998.3,32537811.57447352,2768531718784725.0,3137.737553115907,99135.5507134086,314362.6234607906,3264665834.5484133,5970.082331020632,706525.1778473915,6991.996451225409
61,605633102985312.1,146973474782998.3,32152906.938759528,2768531718784725.0,3137.737553115907,99135.5507134086,314362.6234607906,3184476639.841219,5970.082331020632,706525.1778473915,6434.397339632633
62,600774635272442.8,146973474782998.3,31670543.072893873,2768531718784725.0,3137.737553115907,87154.53732540041,314362.6234607906,3033315842.838605,5970.082331020632,706525.1778473915,5786.7135842670805
63,600008339648516.1,146973474782998.3,31223978.166579522,2768531718784725.0,3137.737553115907,79718.1838905535,314362.6234607906,2908266718.2249737,5970.082331020632,706525.1778473915,5353.528537199267
64,597890980264072.4,146973474782998.3,30813965.782996554,2768531718784725.0,3137.737553115907,78231.3808080083,314362.6234607906,2673155370.570073,5970.082331020632,706525.1778473915,5257.382859472983
65,535425818336920.6,146973474782998.3,30457963.89255113,2768531718784725.0,3137.737553115907,75868.46428546621,314362.6234607906,2642648447.369728,5970.082331020632,706525.1778473915,4813.662569092842
66,535087276033917.8,146973474782998.3,30002359.904691465,2768531718784725.0,3124.180103196297,75593.73478204187,314362.6234607906,2623743811.442464,5970.082331020632,706525.1778473915,4654.994915037096
67,493561170540151.75,146973474782998.3,29584594.085173942,2768531718784725.0,3091.2341804385824,75039.68441487772,314362.6234607906,2603826312.4648724,5970.082331020632,706525.1778473915,4248.401123996428
68,493448032903123.3,146973474782998.3,29446776.76350887,2768531718784725.0,3091.2341804385824,74501.4920524924,314362.6234607906,2547057657.9970455,5970.082331020632,706525.1778473915,4248.401123996428
69,426023298447210.2,146973474782998.3,29431715.934816916,2768531718784725.0,3091.2341804385824,74486.07286021754,314362.6234607906,2502899148.0881853,5970.082331020632,706525.1778473915,4199.604537886333
70,425947979726087.5,146973474782998.3,29070219.200407613,2768531718784725.0,3089.345780786272,74485.50267788713,314362.6234607906,2356185522.7177286,5970.082331020632,706525.1778473915,4110.654268894263
71,425831828750720.2,146973474782998.3,28727527.02146271,2768531718784725.0,3089.345780786272,74485.42079637511,314362.6234607906,2259065955.0694914,5970.082331020632,706525.1778473915,4104.631686710672
72,425768560182554.25,146973474782998.3,28447598.282832786,2768531718784725.0,3089.345780786272,74400.37563043303,314362.6234607906,2102455847.8514545,5970.082331020632,706525.1778473915,4084.6159201452156
73,425648297100305.2,146973474782998.3,28346573.21949978,2768531718784725.0,3089.345780786272,74400.37563043303,314362.6234607906,2031930875.5633097,5970.082331020632,706525.1778473915,3992.367987730403
74,422414279158267.5,146973474782998.3,28179485.2406163,2768531718784725.0,3089.345780786272,74400.37563043303,314362.6234607906,1896262128.7850296,5970.082331020632,706525.1778473915,3956.7710335661573
75,421152106981393.8,146973474782998.3,28093742.82786957,2768531718784725.0,3089.345780786272,74400.37563043303,314362.6234607906,1896262128.7850296,5970.082331020632,706525.1778473915,3896.8270998126764
76,420082543240261.7,146973474782998.3,27857579.47733747,2768531718784725.0,3089.345780786272,74400.37563043303,314362.6234607906,1827143182.534101,5970.082331020632,706525.1778473915,3880.4812573131785
77,419979824899817.9,146973474782998.3,27624370.867097322,2768531718784725.0,3089.345780786272,74400.37563043303,314362.6234607906,1802894597.7975922,5970.082331020632,706525.1778473915,3879.141029397013
78,419898897384731.94,146973474782998.3,27397302.399005007,2768531718784725.0,3089.345780786272,74400.37563043303,314362.6234607906,1612913787.2257848,5970.082331020632,706525.1778473915,3876.948850822546
79,418333547100062.25,146973474782998.3,27397302.399005007,2768531718784725.0,3089.345780786272,74400.34636254796,314362.6234607906,1538548042.9354553,5970.082331020632,706525.1778473915,3876.948850822546
80,418229360843279.7,146973474782998.3,27194542.277491562,2768531718784725.0,3089.345780786272,74400.30032229068,314362.6234607906,1427072207.6207983,5970.082331020632,706525.1778473915,3876.1829570964105
81,418026209782033.7,146973474782998.3,27048160.00908508,2768531718784725.0,3089.345780786272,74399.91994693605,314362.6234607906,1156020489.9243836,5970.082331020632,706525.1778473915,3876.1829570964105
82,391553532437706.4,146973474782998.3,26869851.27294767,2768531718784725.0,3089.345780786272,74399.91994693605,314362.6234607906,1083068884.9027317,5970.082331020632,706525.1778473915,3876.1829570964105
83,391537023186495.7,146973474782998.3,26693271.489018995,2768531718784725.0,3089.345780786272,74399.91984425654,314362.6234607906,1031696061.7532206,5970.082331020632,706525.1778473915,3875.0349357896016
84,391453736134482.7,146973474782998.3,26646091.86898264,2768531718784725.0,3089.345780786272,74399.91984425654,314362.6234607906,1000199341.6681021,5970.082331020632,706525.1778473915,3871.6133804344217
85,391419702466254.3,146973474782998.3,26517113.57975562,2768531718784725.0,3089.345780786272,74399.91984425654,314362.6234607906,931867899.8884308,5970.082331020632,706525.1778473915,3871.6133804344217
86,391380918384810.1,146973474782998.3,26418733.778572813,2768531718784725.0,3089.345780786272,74399.91984425654,314362.6234607906,926280459.459995,5970.082331020632,706525.1778473915,3871.2914644263356
87,388636104238391.25,146973474782998.3,26284565.85588299,2768531718784725.0,3089.345780786272,74399.9195093378,314362.6234607906,926280459.459995,5970.082331020632,706525.1778473915,3871.206937924733
88,388603464466705.5,146973474782998.3,26192908.073830456,2768531718784725.0,3089.345780786272,74399.9195093378,314362.6234607906,923470043.6598098,5970.082331020632,706525.1778473915,3870.6444278466397
89,388580358226339.1,146973474782998.3,26069156.277536277,2768531718784725.0,3089.345780786272,69003.38427574463,314362.6234607906,894317992.5872449,5970.082331020632,706525.1778473915,3774.533266362623
90,387754815213818.4,146973474782998.3,25956395.85088891,2768531718784725.0,3089.345780786272,59632.50544614968,314362.6234607906,833845455.2459476,5970.082331020632,706525.1778473915,3759.523136013748
91,387629573109571.25,146973474782998.3,25950729.412007805,2768531718784725.0,3089.345780786272,59174.31250589391,314362.6234607906,831654264.5060672,5970.082331020632,706525.1778473915,3717.998543800612
92,386354946380030.56,146973474782998.3,25849215.838663988,2768531718784725.0,3089.345780786272,59174.31250589391,314362.6234607906,804731636.3926952,5970.082331020632,706525.1778473915,3717.164522028851
93,385917897604328.44,146973474782998.3,25771218.238693696,2768531718784725.0,3089.345780786272,58763.65625253576,314362.6234607906,781927065.8265826,5970.082331020632,706525.1778473915,3710.6922903341774
94,385857667882909.6,146973474782998.3,25727270.655857705,2768531718784725.0,3089.345780786272,58763.65625253576,314362.6234607906,758416643.6396283,5970.082331020632,706525.1778473915,3709.1892181435387
95,385813568937233.75,146973474782998.3,25644182.370763965,2768531718784725.0,3089.1833655262467,58763.65625253576,314362.6234607906,749973034.434252,5970.082331020632,706525.1778473915,3656.9079772701107
96,385794035188783.75,146973474782998.3,25598696.917551048,2768531718784725.0,3089.1833655262467,58763.65625253576,314362.6234607906,747498986.9669871,5970.082331020632,706525.1778473915,3638.390901642204
97,385036156296734.6,146973474782998.3,25598696.917551048,2768531718784725.0,3089.1833655262467,58763.65625253576,314362.6234607906,668120050.281277,5970.082331020632,706525.1778473915,3629.09547946596
98,381737011823769.0,146973474782998.3,25576323.429093234,2768531718784725.0,3089.1833655262467,58763.65625253576,314362.6234607906,633789700.8254659,5970.082331020632,706525.1778473915,3628.390138777254
99,381697865437998.7,146973474782998.3,25544250.593210563,2768531718784725.0,3089.1833655262467,58763.23628593503,314362.6234607906,611926772.8523352,5970.082331020632,706525.1778473915,3627.30589471876
100,381655339432412.25,146973474782998.3,25507992.749497935,2768531718784725.0,3089.1833655262467,58762.68028585372,314362.6234607906,602248747.2175155,5970.082331020632,706525.1778473915,3624.2638086414363
101,379508698614952.3,146973474782998.3,25463490.061968368,2768531718784725.0,3089.1833655262467,58762.68028585372,314362.6234607906,581795819.8427987,5970.082331020632,706525.1778473915,3624.2638086414363
102,379470333630575.5,146973474782998.3,25400257.81027004,2768531718784725.0,3089.1833655262467,58762.68028585372,314362.6234607906,550294966.728681,5970.082331020632,706525.1778473915,3624.2638086414363
103,377706112849994.5,146973474782998.3,25340536.0396542,2768531718784725.0,3089.1833655262467,58762.68028585372,314362.6234607906,531968306.8260745,5970.082331020632,706525.1778473915,3624.2638086414363
104,377650309087910.44,146973474782998.3,25276800.78811498,2768531718784725.0,3089.1833655262467,58762.664444823684,314362.6234607906,500733210.9611804,5970.082331020632,706525.1778473915,3624.2099395400965
105,376024382976407.0,146973474782998.3,25240861.102659624,2768531718784725.0,3089.1833655262467,58762.664444823684,314362.6234607906,483277591.22560525,5970.082331020632,706525.1778473915,3618.950501530995
106,375988614010212.44,146973474782998.3,25192414.843345337,2768531718784725.0,3089.1833655262467,58762.656252330395,314362.6234607906,471286813.5007252,5970.082331020632,706525.1778473915,3616.8721230670767
107,375951949900827.1,146973474782998.3,25146141.558993615,2768531718784725.0,3089.1833655262467,58762.65319485891,314362.6234607906,428119896.22452337,5970.082331020632,706525.1778473915,3616.5349081077134
108,375917664542861.06,146973474782998.3,25113026.928774882,2768531718784725.0,3089.1833655262467,58762.65319485891,314362.6234607906,390476745.11792505,5970.082331020632,706525.1778473915,3616.5349081077134
109,375878064053715.44,146973474782998.3,25113026.928774882,2768531718784725.0,3089.1833655262467,58762.65319485891,314362.6234607906,335704678.7375457,5970.082331020632,706525.1778473915,3616.4662730717905
110,375822136187953.3,146973474782998.3,25068717.80631741,2768531718784725.0,3089.1833655262467,58762.65319485891,314362.6234607906,298412877.6675505,5970.082331020632,706525.1778473915,3616.4662730717905
111,375743080801238.1,146973474782998.3,25023119.3241572,2768531718784725.0,3089.1833655262467,58762.65319485891,314362.6234607906,294650327.4231221,5970.082331020632,706525.1778473915,3616.1805335105223
112,375704941092349.0,146973474782998.3,25023119.3241572,2768531718784725.0,3089.1833655262467,58762.6529908263,314362.6234607906,290246447.2259746,5970.082331020632,706525.1778473915,3616.009621942344
113,374973614706875.2,146973474782998.3,24997396.49611345,2768531718784725.0,3089.1833655262467,58762.6529908263,314362.6234607906,284875304.5769611,5970.082331020632,706525.1778473915,3613.998600276358
114,374939628737213.7,146973474782998.3,24975865.15720835,2768531718784725.0,3089.1833655262467,58762.65280587953,314362.6234607906,279899627.87036526,5970.082331020632,706525.1778473915,3598.727785075924
115,374911167590214.1,146973474782998.3,24953307.276176166,2768531718784725.0,3089.1833655262467,58762.65280587953,314362.6234607906,269269444.40568554,5970.082331020632,706525.1778473915,3591.6873505951007
116,373839128734399.94,146973474782998.3,24950906.027306903,2768531718784725.0,3089.1833655262467,58762.65280587953,314362.6234607906,263498568.22317925,5970.082331020632,706525.1778473915,3581.6082712213993
117,373814757534899.5,146973474782998.3,24919076.22391478,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,253463398.2432508,5970.082331020632,706525.1778473915,3568.88456293092
118,373778313886949.6,146973474782998.3,24886404.9820453,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,248846467.44789246,5970.082331020632,706525.1778473915,3567.7251359441593
119,373734884510049.5,146973474782998.3,24856517.45008555,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,242717025.14274633,5970.082331020632,706525.1778473915,3567.3070089596144
120,373046346374785.7,146973474782998.3,24826997.015119754,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,233806444.85478154,5970.082331020632,706525.1778473915,3567.027462791715
121,372828766625402.0,146973474782998.3,24799824.455835618,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,221741319.32544976,5970.082331020632,706525.1778473915,3566.612457137223
122,372791200069694.8,146973474782998.3,24775652.776833277,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,215863521.6877759,5970.082331020632,706525.1778473915,3565.3758503548656
123,372761322931581.0,146973474782998.3,24752018.28397616,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,210685331.4795801,5970.082331020632,706525.1778473915,3565.3538524400583
124,372429010032568.3,146973474782998.3,24738632.00541948,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,204152312.6865272,5970.082331020632,706525.1778473915,3565.202756206559
125,372382881813671.8,146973474782998.3,24717474.42878479,2768531718784725.0,3050.6788749486172,58762.65280587953,314362.6234607906,200195648.5955009,5970.082331020632,706525.1778473915,3565.202756206559
126,372349319119848.75,146973474782998.3,24698423.307700984,2768531718784725.0,3050.6788749486172,54673.832142633,314362.6234607906,196741261.89685577,5970.082331020632,706525.1778473915,3565.1494434333076
127,372310292500843.2,146973474782998.3,24696459.748452093,2768531718784725.0,3050.6788749486172,44632.91493195219,314362.6234607906,188638325.20687324,5970.082331020632,706525.1778473915,3565.132102148402
128,372250964994161.44,146973474782998.3,24678712.501815014,2768531718784725.0,3050.6788749486172,43188.52258344284,314362.6234607906,186608629.7997862,5970.082331020632,706525.1778473915,3564.4221023624195
129,372215573984244.5,146973474782998.3,24678712.501815014,2768531718784725.0,3050.6788749486172,43171.83744579958,314362.6234607906,179546491.20406458,5970.082331020632,706525.1778473915,3564.4221023624195
130,370626038785022.56,146973474782998.3,24666874.330906313,2768531718784725.0,3050.6788749486172,43101.58041087999,314362.6234607906,178874976.84744745,5970.082331020632,706525.1778473915,3564.3437774663535
131,370305277593505.56,146973474782998.3,24653873.23349902,2768531718784725.0,3050.6788749486172,43038.32726708876,314362.6234607906,177565263.18460885,5970.082331020632,706525.1778473915,3560.487908812449
132,370261202597445.7,146973474782998.3,24637370.12393933,2768531718784725.0,3047.941918203933,42892.71066574347,314362.6234607906,173332580.36744985,5970.082331020632,706525.1778473915,3559.654270667657
133,370231200649624.94,146973474782998.3,24629848.010121245,2768531718784725.0,3047.941918203933,42803.152729353504,314362.6234607906,168541863.55619347,5970.082331020632,706525.1778473915,3558.8164200792817
134,370209893821491.06,146973474782998.3,24629848.010121245,2768531718784725.0,3047.941918203933,42768.707687971044,314362.6234607906,163565776.24748358,5970.082331020632,706525.1778473915,3558.382955038764
135,369672997087749.94,146973474782998.3,24616536.178074203,2768531718784725.0,3047.941918203933,42768.707687971044,314362.6234607906,157626193.34375307,5970.082331020632,680591.6955686407,3558.2224129419733
136,369650102621536.6,146973474782998.3,24606675.91035167,2768531718784725.0,3047.941918203933,42768.707687971044,314362.6234607906,152634986.2129375,5970.082331020632,680591.6955686407,3558.1778778930757
137,369583573283395.4,146973474782998.3,24594966.76485964,2768531718784725.0,3047.941918203933,42768.707687971044,314362.6234607906,149585815.33776596,5970.082331020632,680591.6955686407,3558.1778778930757
138,369557552842024.25,146973474782998.3,24581994.828842808,2768531718784725.0,3047.941918203933,42768.707687971044,314362.6234607906,148600957.8260629,5970.082331020632,680591.6955686407,3558.1778778930757
139,369535246858281.8,146973474782998.3,24571125.51797252,2768531718784725.0,3047.941918203933,42768.58198788524,314362.6234607906,144837903.60634142,5970.082331020632,680591.6955686407,3557.923460379171
140,369508527874034.75,146973474782998.3,24564356.256982774,2768531718784725.0,3047.941918203933,42061.85932443566,314362.6234607906,143604457.08738178,5970.082331020632,680591.6955686407,3547.907443734194
141,369486121173635.5,146973474782998.3,24553580.217966244,2768531718784725.0,3047.941918203933,42010.42389554614,314362.6234607906,143087582.11307546,5970.082331020632,680591.6955686407,3547.907443734194
142,369452015840057.2,146973474782998.3,24543628.312701117,2768531718784725.0,3047.941918203933,42008.8365509914,314362.6234607906,142621878.90327618,5970.082331020632,680591.6955686407,3547.907443734194
143,347020195019733.44,146973474782998.3,24539064.766120605,2768531718784725.0,3047.941918203933,41979.57628263272,314362.6234607906,142302409.26126543,5970.082331020632,680591.6955686407,3540.7462113074653
144,346231585484068.7,146973474782998.3,24531137.51543043,2768531718784725.0,3047.941918203933,41978.4739457532,314362.6234607906,141751202.94467768,5970.082331020632,680591.6955686407,3521.0178478077087
145,345500634347300.3,146973474782998.3,24523045.146168865,2768531718784725.0,3047.941918203933,41977.87391937698,314362.6234607906,141257810.41109985,5970.082331020632,680591.6955686407,3520.1052455328336
146,345476436254692.44,146973474782998.3,24514102.08914356,2768531718784725.0,3047.941918203933,41977.87391937698,314362.6234607906,140497350.5386657,5970.082331020632,680591.6955686407,3520.1052455328336
147,345447731077048.7,146973474782998.3,24511173.18121642,2768531718784725.0,3047.941918203933,41977.692825027414,314362.6234607906,138248321.84279028,5970.082331020632,680591.6955686407,3520.1052455328336
148,345423082153871.75,146973474782998.3,24511173.18121642,2768531718784725.0,3047.941918203933,41977.641011432606,314362.6234607906,138047739.86626846,5970.082331020632,680591.6955686407,3520.0956009332717
149,345400536002462.94,146973474782998.3,24511173.18121642,2768531718784725.0,3047.941918203933,41976.264520820114,314362.6234607906,137839162.55586782,5970.082331020632,680591.6955686407,3520.0956009332717
