function_name,,GA,PSO,SLnO,WOA,ISLO,TWO,QSO
islo_hybrid_F22,mean,2.28E+05,1.26E+07,1.85E+08,8.72E+02,7.16E+02,1.17E+08,2.57E+08
islo_hybrid_F22,std,7.52E+04,1.27E+07,6.11E+08,2.55E+02,9.38E-01,1.29E+08,1.73E+08
islo_hybrid_F22,rank,3,4,6,2,1,5,7
islo_hybrid_F23,mean,5.29E+06,6.08E+07,2.65E+08,3.59E+04,1.26E+03,2.74E+08,9.76E+08
islo_hybrid_F23,std,1.29E+06,2.72E+07,3.12E+08,4.30E+04,1.19E+03,1.57E+08,4.46E+08
islo_hybrid_F23,rank,3,4,5,2,1,6,7
islo_compos_F24,mean,1.12E+04,2.96E+04,3.46E+03,1.92E+03,1.81E+03,1.15E+05,2.23E+03
islo_compos_F24,std,2.35E+03,1.71E+04,1.04E+03,4.11E+01,1.62E+00,4.71E+04,6.89E+02
islo_compos_F24,rank,5,6,4,2,1,7,3
islo_compos_F25,mean,8.17E+06,1.26E+08,8.62E+08,1.23E+05,2.95E+03,2.64E+08,6.98E+08
islo_compos_F25,std,2.42E+06,5.10E+07,1.08E+09,1.15E+05,4.98E+02,1.09E+08,3.18E+08
islo_compos_F25,rank,3,4,7,2,1,5,6
islo_compos_F26,mean,6.78E+03,4.50E+03,4.63E+03,3.03E+03,2.22E+03,4.20E+03,2.82E+03
islo_compos_F26,std,3.59E+02,3.76E+02,9.84E+02,9.60E+02,2.03E+00,2.15E+02,3.59E+01
islo_compos_F26,rank,7,5,6,3,1,4,2
islo_compos_F27,mean,3.22E+03,3.15E+03,2.52E+03,2.43E+03,2.40E+03,2.87E+03,2.66E+03
islo_compos_F27,std,6.09E+01,1.18E+02,1.66E-02,3.28E+00,1.50E+00,2.58E+01,6.04E+00
islo_compos_F27,rank,7,6,3,2,1,5,4
islo_compos_F28,mean,2.11E+05,5.47E+04,1.06E+05,9.88E+04,8.02E+04,1.49E+05,3.25E+03
islo_compos_F28,std,6.99E+03,1.22E+04,5.84E+03,7.98E+03,3.86E+04,3.89E+03,1.81E+00
islo_compos_F28,rank,7,2,5,4,3,6,1
islo_compos_F29,mean,3.77E+05,1.13E+07,2.17E+13,2.92E+03,2.83E+03,2.39E+13,8.72E+06
islo_compos_F29,std,2.07E+05,1.10E+05,1.27E+11,4.78E+01,5.36E+00,3.05E+11,1.90E+06
islo_compos_F29,rank,3,5,6,2,1,7,4
islo_compos_F30,mean,4.31E+03,1.68E+06,3.04E+03,2.93E+03,2.91E+03,1.12E+04,3.21E+03
islo_compos_F30,std,7.28E+02,1.94E+06,5.60E-01,2.30E+00,1.32E+00,1.54E+04,1.66E+02
islo_compos_F30,rank,5,7,3,2,1,6,4
