[1.03464358]
[0.84767151]
[0.41027068]
[0.41027068]
[0.41027068]
[0.40929583]
[0.40929583]
[0.203046]
[0.03737284]
[0.03737284]
[0.03737284]
[0.02705124]
[0.02705124]
[0.02705124]
[0.02705124]
[0.02705124]
[0.02705124]
[0.02705124]
[0.02705124]
[0.02705124]
[0.00304775]
[0.00304775]
[0.00304775]
[0.00304775]
[0.00304775]
[0.00294706]
[0.00294706]
[0.00294706]
[0.00294706]
[0.00294706]
[0.00294706]
[0.00294706]
[0.00053954]
[0.00053954]
[0.00053954]
[5.34318405e-06]
[5.34318405e-06]
[5.34318405e-06]
[5.34318405e-06]
[5.34318405e-06]
[5.34318405e-06]
[5.34318405e-06]
[5.34318405e-06]
[5.34318405e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.41180554e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[3.14711294e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.62379808e-06]
[1.53988226e-06]
[1.53988226e-06]
[1.53988226e-06]
[1.53988226e-06]
[5.37744799e-07]
[3.48092604e-07]
[3.48092604e-07]
[2.05024548e-07]
[2.05024548e-07]
[2.05024548e-07]
[5.3614897e-09]
[5.3614897e-09]
[5.3614897e-09]
[5.3614897e-09]
[5.3614897e-09]
