[1.63409438e+09]
[1.07072787e+09]
[8.05939905e+08]
[3.55447961e+08]
[3.55447961e+08]
[3.28986942e+08]
[3.1193815e+08]
[2.50130959e+08]
[2.29998756e+08]
[1.7818525e+08]
[1.7818525e+08]
[1.51614036e+08]
[1.51614036e+08]
[1.51614036e+08]
[1.14888485e+08]
[70262026.19755606]
[70262026.19755606]
[45831638.04509641]
[45831638.04509641]
[38849087.75961819]
[26623964.99834295]
[26623964.99834295]
[26098783.00186883]
[25286161.49083636]
[21253704.13672115]
[17181943.82852762]
[17181943.82852762]
[16733309.75068194]
[16350701.40233623]
[14805840.36968401]
[13946735.50264575]
[13946735.50264575]
[13946735.50264575]
[11981663.82280895]
[8995195.75770804]
[8995195.75770804]
[8525082.51026172]
[8525082.51026172]
[7312471.77264352]
[7312471.77264352]
[5005380.73385464]
[5005380.73385464]
[3320381.60996848]
[3320381.60996848]
[2402455.1215062]
[2402455.1215062]
[2402455.1215062]
[2303291.98752289]
[1749578.66980511]
[1622717.06838882]
[1502561.52556708]
[1423403.22070663]
[1290090.90022699]
[1290090.90022699]
[1290090.90022699]
[1290090.90022699]
[1267371.20933655]
[1267371.20933655]
[1261390.93604965]
[1261390.93604965]
[1261390.93604965]
[1261390.93604965]
[498816.02803447]
[423938.76575543]
[356315.96379598]
[284981.16389296]
[283397.15958923]
[248859.31733615]
[248859.31733615]
[188191.51569294]
[188191.51569294]
[188191.51569294]
[131669.90620589]
[131669.90620589]
[125984.69899256]
[120793.49806773]
[114824.94801449]
[109269.54764139]
[109269.54764139]
[93508.71177384]
[93508.71177384]
[89644.92235151]
[89644.92235151]
[89644.92235151]
[81379.47361595]
[77396.97387653]
[35843.75176225]
[35843.75176225]
[35348.07866471]
[35030.79461797]
[31480.10575818]
[27259.94291444]
[26860.04816417]
[26860.04816417]
[26860.04816417]
[26860.04816417]
[17927.34917862]
[17927.34917862]
[17753.0164707]
[17753.0164707]
[17308.44386165]
[16324.20042561]
[16324.20042561]
[15888.17225368]
[15476.84243742]
[14577.26023529]
[14427.95807148]
[14427.95807148]
[14309.95754353]
[14309.95754353]
[14309.95754353]
[14204.45395348]
[13675.71650336]
[13675.71650336]
[13534.25531796]
[13370.30179431]
[13308.89430506]
[13186.78636558]
[13168.83987079]
[13168.83987079]
[13168.83987079]
[13153.06472154]
[13126.97028222]
[13089.70058366]
[13089.70058366]
[13038.25937977]
[13038.25937977]
[13032.94472835]
[12977.30316414]
[12957.12755167]
[12946.97339484]
[12942.70541446]
[12897.56127649]
[12897.56127649]
[12869.8703276]
[12861.49100007]
[12861.49100007]
[12849.48099663]
[12845.63207226]
[12841.78344221]
[12841.51877217]
[12840.064437]
[12822.24575205]
[12817.86649457]
[12817.82948781]
[12801.10493353]
[12800.10495278]
[12795.84913636]
[12795.84913636]
[12795.59967476]
[12795.34027959]
[12795.01383217]
[12794.76317322]
[12794.24859118]
[12794.08146376]
[12793.78207033]
[12793.77028412]
[12793.71366863]
[12793.61780902]
[12793.58865591]
[12793.50393694]
[12793.50393694]
[12793.50393694]
[12793.39692035]
[12793.35256991]
[12793.30699673]
[12793.2478127]
[12793.17243491]
[12793.12822654]
[12793.10081438]
[12793.09246319]
[12793.06081615]
[12793.05055114]
[12793.003531]
[12792.97998335]
[12792.94109063]
[12792.83834887]
[12792.79816542]
[12792.68290135]
[12792.5842811]
[12792.37148028]
[12792.13118848]
[12791.9937914]
[12791.69248937]
[12791.37585636]
[12790.79590804]
[12790.17911946]
[12789.68520882]
[12789.15075302]
[12787.89664576]
[12786.54172143]
[12785.35644968]
[12784.80742714]
[12782.83495316]
[12781.10738849]
[12775.25001832]
[12772.43205723]
[12768.02630572]
[12766.11063005]
[12761.26440677]
[12754.82821334]
[12752.30854048]
[12747.22054162]
[12742.79181044]
[12735.21231519]
[12729.74396252]
[12717.98331762]
[12711.47354275]
[12701.13932414]
[12692.0779923]
[12681.07416539]
[12670.8358581]
[12657.87048301]
[12649.12168041]
[12640.57163583]
[12636.80354063]
[12632.79721142]
[12629.29572933]
[12626.059664]
[12620.35450601]
[12614.01846695]
[12603.87400738]
[12593.03784615]
[12580.23728921]
[12559.53065302]
[12537.78364963]
[12508.58340673]
[12475.96059211]
[12440.6757558]
[12394.24194372]
[12349.02965942]
[12303.8991984]
[12276.60203053]
[12253.00992831]
[12220.77955086]
[12211.54554459]
[12183.98534915]
[12156.46753723]
[12148.35381496]
[12147.88929269]
[12137.3675135]
[12130.31329812]
[12123.0645319]
[12107.43743225]
[12092.71806433]
[12078.7360269]
[12057.97609555]
[12043.15930925]
[12023.41491767]
[12011.53984218]
[11999.34294642]
[11980.54481383]
[11940.04171679]
[11928.98808346]
[11921.42720141]
[11908.86877193]
[11900.31162561]
[11900.31162561]
[11900.26539561]
[11900.26539561]
[11900.26539561]
[11900.25491286]
[11900.25491286]
[11900.25491286]
[11900.25396267]
[11900.24376755]
[11900.2418792]
[11900.23552361]
[11900.2343156]
[11900.21138768]
[11900.193927]
[11900.1830728]
[11900.17427851]
[11900.14520182]
[11900.11194717]
[11900.08465186]
[11900.04303117]
[11899.99619063]
[11899.92866596]
[11899.84218959]
[11899.73609328]
[11899.62776967]
[11899.50760247]
[11899.3884737]
[11899.28716147]
[11899.17372313]
[11898.97484402]
[11898.82357156]
[11898.65086858]
[11898.4877326]
[11898.3027843]
[11898.1393202]
[11897.95191544]
[11897.73823288]
[11897.48636966]
[11897.30588653]
[11897.09299163]
[11896.83264736]
[11896.5232829]
[11896.1843634]
[11895.86670632]
[11895.46492731]
[11894.98762081]
[11894.53789492]
[11893.97350515]
[11893.51853978]
[11893.02766472]
[11892.67117159]
[11892.26797173]
[11892.10694977]
[11892.02664942]
[11892.02664942]
[11892.02258727]
[11891.98954661]
[11891.95441089]
[11891.91149667]
[11891.87501172]
[11891.81533189]
[11891.77088857]
[11891.72577363]
[11891.68270738]
[11891.64232784]
[11891.60411356]
[11891.55051592]
[11891.50554461]
[11891.45310449]
[11891.39177926]
[11891.33726692]
[11891.28051672]
[11891.21301224]
[11891.14216017]
[11891.07586749]
[11891.00747565]
[11890.93952213]
[11890.86841787]
[11890.8129916]
[11890.75828754]
[11890.7023329]
[11890.66491124]
[11890.63555876]
[11890.62503191]
[11890.62124997]
[11890.61969648]
[11890.61534528]
[11890.61054464]
[11890.6063763]
[11890.60209272]
[11890.59540562]
[11890.58895873]
[11890.58308815]
[11890.57594919]
[11890.57266387]
[11890.56975765]
[11890.56860222]
[11890.56851778]
[11890.56851778]
[11890.56851682]
[11890.56851682]
[11890.56851521]
[11890.5685123]
[11890.5685089]
[11890.56850337]
[11890.56850128]
[11890.56849395]
[11890.56848909]
[11890.56848274]
[11890.56847379]
[11890.5684654]
[11890.5684572]
[11890.56844857]
[11890.56844232]
[11890.56843553]
[11890.56842783]
[11890.56842061]
[11890.56840842]
[11890.56839622]
[11890.56838437]
[11890.56837229]
[11890.56835936]
[11890.56834507]
[11890.56833272]
[11890.56831999]
[11890.56830267]
[11890.56828638]
[11890.56827025]
[11890.56824923]
[11890.56822859]
[11890.56821049]
[11890.56818626]
[11890.56816683]
[11890.56814535]
[11890.56812378]
[11890.56809813]
[11890.56807285]
[11890.56804714]
[11890.5680201]
[11890.56798967]
[11890.56795945]
[11890.56793105]
[11890.56789955]
[11890.56786664]
[11890.56784063]
[11890.56780671]
[11890.56776342]
[11890.56773217]
[11890.5676986]
[11890.56765871]
[11890.56762568]
[11890.56758976]
[11890.56755274]
[11890.56752031]
[11890.5674844]
[11890.56745369]
[11890.56742787]
[11890.56739176]
[11890.56737089]
[11890.56735331]
[11890.5673394]
[11890.5673281]
[11890.56732238]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732199]
[11890.56732198]
[11890.56732198]
[11890.56732198]
[11890.56732198]
[11890.56732197]
[11890.56732197]
[11890.56732197]
[11890.56732197]
[11890.56732196]
[11890.56732195]
[11890.56732195]
[11890.56732194]
[11890.56732194]
[11890.56732194]
[11890.56732193]
[11890.56732192]
[11890.56732192]
[11890.56732192]
[11890.56732191]
[11890.5673219]
[11890.5673219]
[11890.56732189]
[11890.56732189]
[11890.56732188]
[11890.56732188]
[11890.56732187]
[11890.56732187]
[11890.56732186]
[11890.56732185]
[11890.56732185]
[11890.56732184]
[11890.56732184]
[11890.56732184]
[11890.56732183]
[11890.56732183]
[11890.56732182]
[11890.56732182]
[11890.56732181]
[11890.5673218]
[11890.5673218]
[11890.56732179]
[11890.56732178]
[11890.56732178]
[11890.56732177]
[11890.56732176]
[11890.56732176]
[11890.56732175]
[11890.56732174]
[11890.56732174]
[11890.56732173]
[11890.56732172]
[11890.56732172]
[11890.56732171]
[11890.5673217]
[11890.56732169]
[11890.56732169]
[11890.56732168]
[11890.56732167]
[11890.56732167]
[11890.56732166]
[11890.56732165]
[11890.56732165]
[11890.56732164]
[11890.56732163]
[11890.56732162]
[11890.56732162]
[11890.56732161]
[11890.5673216]
[11890.5673216]
